stream,step,processed,true_unique,estimate
0,0,2500,2477,2548.55
0,1,5000,4901,4812.58
0,2,7500,7316,7178.82
0,3,10000,9720,9532.02
0,4,12500,12119,11996
0,5,15000,14512,14247.8
0,6,17500,16896,16694.9
0,7,20000,19300,19291
0,8,22500,21692,21609.6
0,9,25000,24080,24405.3
0,10,27500,26469,27014.9
0,11,30000,28865,29864.3
0,12,32500,31253,32386.4
0,13,35000,33655,34491.5
0,14,37500,36033,36988.1
0,15,40000,38422,39132.5
0,16,42500,40816,41455.8
0,17,45000,43216,43716.9
0,18,47500,45596,46607
0,19,50000,47979,49481.6
1,0,2500,2462,2332.17
1,1,5000,4892,4868.66
1,2,7500,7309,7158.21
1,3,10000,9739,9278.14
1,4,12500,12145,11609.9
1,5,15000,14561,13909
1,6,17500,16978,16695.2
1,7,20000,19379,18976.2
1,8,22500,21785,21241.9
1,9,25000,24177,23505.7
1,10,27500,26579,26105.1
1,11,30000,28960,28245.5
1,12,32500,31357,30353.8
1,13,35000,33753,33029.8
1,14,37500,36142,35364.2
1,15,40000,38541,37575.6
1,16,42500,40937,39709
1,17,45000,43330,41753.3
1,18,47500,45726,44222.9
1,19,50000,48127,46075.6
2,0,2500,2463,2423.93
2,1,5000,4907,4898.83
2,2,7500,7339,7015.43
2,3,10000,9742,9593.93
2,4,12500,12148,11905.3
2,5,15000,14572,14725.6
2,6,17500,16976,17046.4
2,7,20000,19375,19506.5
2,8,22500,21778,21762.4
2,9,25000,24175,23898.7
2,10,27500,26584,26611.2
2,11,30000,28983,29444.1
2,12,32500,31400,32322.6
2,13,35000,33808,35525.6
2,14,37500,36179,37595.5
2,15,40000,38582,39216.5
2,16,42500,40983,41484.3
2,17,45000,43382,43474.9
2,18,47500,45796,45830.7
2,19,50000,48188,47810.4
3,0,2500,2460,2490.02
3,1,5000,4888,4915.26
3,2,7500,7302,7134.85
3,3,10000,9719,9680.81
3,4,12500,12148,11852.3
3,5,15000,14561,14266.1
3,6,17500,16963,16842.3
3,7,20000,19359,18313.2
3,8,22500,21765,21005.4
3,9,25000,24162,23346.2
3,10,27500,26574,25624.1
3,11,30000,28967,27957.5
3,12,32500,31359,30442
3,13,35000,33744,33040.9
3,14,37500,36142,35319.2
3,15,40000,38528,37316.6
3,16,42500,40899,39772.1
3,17,45000,43284,42548.8
3,18,47500,45658,44542.8
3,19,50000,48051,47580.6
4,0,2500,2472,2423.93
4,1,5000,4896,4825.06
4,2,7500,7326,7100.18
4,3,10000,9756,9448.73
4,4,12500,12168,11766.8
4,5,15000,14575,13909.6
4,6,17500,16990,16241.2
4,7,20000,19400,18613.9
4,8,22500,21803,20839.2
4,9,25000,24199,23206.2
4,10,27500,26593,25916.8
4,11,30000,28999,28064.5
4,12,32500,31388,31476
4,13,35000,33785,33850.2
4,14,37500,36200,36020.3
4,15,40000,38602,39524.5
4,16,42500,40981,42165.4
4,17,45000,43368,44938.4
4,18,47500,45764,47146.8
4,19,50000,48155,49085.1
5,0,2500,2466,2423.93
5,1,5000,4900,4968.97
5,2,7500,7316,7512.66
5,3,10000,9744,10072.9
5,4,12500,12137,12208.2
5,5,15000,14543,14932.9
5,6,17500,16969,17350.5
5,7,20000,19386,20150.3
5,8,22500,21792,22385
5,9,25000,24213,24766.9
5,10,27500,26617,27362.8
5,11,30000,29006,29685.7
5,12,32500,31393,32212.5
5,13,35000,33777,34847.3
5,14,37500,36169,37016.9
5,15,40000,38573,38371.8
5,16,42500,40965,40581.8
5,17,45000,43356,42999.6
5,18,47500,45738,45310.1
5,19,50000,48134,47586.6
6,0,2500,2450,2601.54
6,1,5000,4866,5031.36
6,2,7500,7276,7613.67
6,3,10000,9683,9723.62
6,4,12500,12101,11924.4
6,5,15000,14512,14644.2
6,6,17500,16919,16802.8
6,7,20000,19327,18912.8
6,8,22500,21735,21406.8
6,9,25000,24143,23643.8
6,10,27500,26546,26389
6,11,30000,28938,28753
6,12,32500,31353,31303.4
6,13,35000,33747,33020.2
6,14,37500,36147,35729.8
6,15,40000,38519,38918.2
6,16,42500,40921,41342
6,17,45000,43321,44067.4
6,18,47500,45711,46617.8
6,19,50000,48116,48569.6
7,0,2500,2462,2434.66
7,1,5000,4883,4752.27
7,2,7500,7291,7245.5
7,3,10000,9710,9697.22
7,4,12500,12133,11455.7
7,5,15000,14522,13411.1
7,6,17500,16926,15347.1
7,7,20000,19321,17569.8
7,8,22500,21708,20346.2
7,9,25000,24130,22618.8
7,10,27500,26524,24981.4
7,11,30000,28909,27508.5
7,12,32500,31293,29901.4
7,13,35000,33690,32700.1
7,14,37500,36079,35202.5
7,15,40000,38464,37385.4
7,16,42500,40857,39395.2
7,17,45000,43250,42077.1
7,18,47500,45612,43654.4
7,19,50000,47999,46251
8,0,2500,2465,2284.54
8,1,5000,4873,5063.23
8,2,7500,7291,7680.51
8,3,10000,9690,10083.7
8,4,12500,12093,12767
8,5,15000,14504,15404.6
8,6,17500,16907,17595.9
8,7,20000,19317,19480.7
8,8,22500,21720,21832.3
8,9,25000,24129,24463.7
8,10,27500,26524,27528.6
8,11,30000,28912,29500.1
8,12,32500,31301,31314.2
8,13,35000,33698,34578.5
8,14,37500,36073,36931.2
8,15,40000,38482,38897
8,16,42500,40858,41676.2
8,17,45000,43247,44787.9
8,18,47500,45665,46885.2
8,19,50000,48063,49981.1
9,0,2500,2456,2478.71
9,1,5000,4894,5127.67
9,2,7500,7316,7301.42
9,3,10000,9722,9915.66
9,4,12500,12108,12360.9
9,5,15000,14520,14373.4
9,6,17500,16920,16203.1
9,7,20000,19320,18484.6
9,8,22500,21716,20696.9
9,9,25000,24124,23759.9
9,10,27500,26529,26060.6
9,11,30000,28931,28291.9
9,12,32500,31326,30215.6
9,13,35000,33724,32346.8
9,14,37500,36115,34727.2
9,15,40000,38495,36457.4
9,16,42500,40890,38673.4
9,17,45000,43289,40387.8
9,18,47500,45680,43503.5
9,19,50000,48055,45111.8
10,0,2500,2459,2576.67
10,1,5000,4885,4732.91
10,2,7500,7296,7235.54
10,3,10000,9710,9735.13
10,4,12500,12129,12217.1
10,5,15000,14547,14563.9
10,6,17500,16961,17059.5
10,7,20000,19383,19480.3
10,8,22500,21784,21712.1
10,9,25000,24191,24597.1
10,10,27500,26595,26629.6
10,11,30000,29006,29048.6
10,12,32500,31397,31234
10,13,35000,33781,33643.5
10,14,37500,36192,34978.2
10,15,40000,38572,38289.7
10,16,42500,40983,40302.7
10,17,45000,43377,43303.8
10,18,47500,45770,45489.7
10,19,50000,48158,47886.4
11,0,2500,2460,2610.24
11,1,5000,4882,5021.19
11,2,7500,7290,7307.32
11,3,10000,9706,9475.45
11,4,12500,12128,12001.8
11,5,15000,14527,14922.6
11,6,17500,16928,17239
11,7,20000,19326,19602.6
11,8,22500,21728,22341.2
11,9,25000,24136,24462.7
11,10,27500,26554,26578.8
11,11,30000,28944,29064.2
11,12,32500,31354,32025.9
11,13,35000,33749,34243.9
11,14,37500,36133,37116.1
11,15,40000,38513,39284.8
11,16,42500,40902,41840.4
11,17,45000,43287,44047.4
11,18,47500,45684,45966.9
11,19,50000,48084,48629.4
12,0,2500,2465,2341.97
12,1,5000,4895,5113.12
12,2,7500,7309,7451.62
12,3,10000,9706,9771.52
12,4,12500,12115,12254.5
12,5,15000,14512,14761.1
12,6,17500,16913,16750.8
12,7,20000,19340,19550.5
12,8,22500,21746,22247.6
12,9,25000,24162,25119
12,10,27500,26563,28016.1
12,11,30000,28952,30110.1
12,12,32500,31339,32394.3
12,13,35000,33734,34560.9
12,14,37500,36141,36117.9
12,15,40000,38546,37812.4
12,16,42500,40933,39655.3
12,17,45000,43326,42448.3
12,18,47500,45730,45045.8
12,19,50000,48123,46888.5
13,0,2500,2453,2382.13
13,1,5000,4895,4890.49
13,2,7500,7307,7359.29
13,3,10000,9716,9623.28
13,4,12500,12125,12051
13,5,15000,14531,14847.4
13,6,17500,16930,17356.9
13,7,20000,19340,19614.8
13,8,22500,21741,21430.8
13,9,25000,24140,24470.2
13,10,27500,26535,27104.4
13,11,30000,28941,29640.7
13,12,32500,31353,31902.7
13,13,35000,33749,33899.4
13,14,37500,36118,36237.8
13,15,40000,38517,38676.2
13,16,42500,40902,40828.1
13,17,45000,43297,42856.7
13,18,47500,45691,45379.2
13,19,50000,48053,48348.3
14,0,2500,2467,2392.42
14,1,5000,4898,5092.82
14,2,7500,7317,7622.47
14,3,10000,9737,10071.8
14,4,12500,12150,12407.9
14,5,15000,14539,15046.5
14,6,17500,16925,17258.4
14,7,20000,19322,19732.2
14,8,22500,21712,22129.1
14,9,25000,24108,24661.5
14,10,27500,26508,27741.3
14,11,30000,28897,30130.6
14,12,32500,31291,32516.4
14,13,35000,33691,35013.6
14,14,37500,36095,37634.7
14,15,40000,38478,39246
14,16,42500,40862,41360.3
14,17,45000,43259,43935.1
14,18,47500,45656,47122.2
14,19,50000,48045,49510.5
15,0,2500,2464,2548.55
15,1,5000,4892,4985.28
15,2,7500,7314,7282.05
15,3,10000,9712,9267.36
15,4,12500,12129,11615.2
15,5,15000,14535,14031.5
15,6,17500,16935,16694.5
15,7,20000,19338,18870
15,8,22500,21723,21032.1
15,9,25000,24112,23214.5
15,10,27500,26528,25277.9
15,11,30000,28927,28006.9
15,12,32500,31328,29901.1
15,13,35000,33734,32763.2
15,14,37500,36123,34450.5
15,15,40000,38519,36444.7
15,16,42500,40912,39637.3
15,17,45000,43295,42600.9
15,18,47500,45691,44982.4
15,19,50000,48064,46546.7
16,0,2500,2466,2646.12
16,1,5000,4899,5010.45
16,2,7500,7335,7230.46
16,3,10000,9745,9563.15
16,4,12500,12156,12204.4
16,5,15000,14561,14562.1
16,6,17500,16978,17254.1
16,7,20000,19373,19984
16,8,22500,21774,22361.1
16,9,25000,24179,24506.3
16,10,27500,26572,27866.5
16,11,30000,28981,29898
16,12,32500,31369,31618.2
16,13,35000,33750,34359.1
16,14,37500,36138,36763
16,15,40000,38530,39469.6
16,16,42500,40903,41929.8
16,17,45000,43303,44372.4
16,18,47500,45681,46747.9
16,19,50000,48049,49654.4
17,0,2500,2459,2467.52
17,1,5000,4893,4680.24
17,2,7500,7312,7196.53
17,3,10000,9719,9413.94
17,4,12500,12129,11855.4
17,5,15000,14535,14799.8
17,6,17500,16970,17242.5
17,7,20000,19374,19695.9
17,8,22500,21787,21952.4
17,9,25000,24176,24539.4
17,10,27500,26587,27488
17,11,30000,28978,29514.7
17,12,32500,31375,32069.8
17,13,35000,33781,34846.8
17,14,37500,36181,37318.5
17,15,40000,38559,40434.5
17,16,42500,40953,44068.3
17,17,45000,43324,46489.3
17,18,47500,45729,48387.2
17,19,50000,48118,51169.8
18,0,2500,2457,2614.31
18,1,5000,4874,4874.43
18,2,7500,7285,7280.21
18,3,10000,9686,9396.88
18,4,12500,12112,11381.9
18,5,15000,14518,13601.5
18,6,17500,16922,16496.3
18,7,20000,19334,19459.2
18,8,22500,21736,22261.5
18,9,25000,24130,24335.6
18,10,27500,26536,26775
18,11,30000,28933,29359.9
18,12,32500,31331,31683
18,13,35000,33728,33643.4
18,14,37500,36128,36095.9
18,15,40000,38516,38119.9
18,16,42500,40917,41184.5
18,17,45000,43316,43091.8
18,18,47500,45707,45544.5
18,19,50000,48082,47353.7
19,0,2500,2472,2445.49
19,1,5000,4907,4988.52
19,2,7500,7324,7656.13
19,3,10000,9743,10591.6
19,4,12500,12138,13348.5
19,5,15000,14547,16180.5
19,6,17500,16956,18814.4
19,7,20000,19364,21315.1
19,8,22500,21757,23917.7
19,9,25000,24160,26409.4
19,10,27500,26553,29389.8
19,11,30000,28957,31912.8
19,12,32500,31371,34836.9
19,13,35000,33783,38197.2
19,14,37500,36176,40272.3
19,15,40000,38553,42075.9
19,16,42500,40950,44557.3
19,17,45000,43331,46925.3
19,18,47500,45737,48937.8
19,19,50000,48133,52574.1
20,0,2500,2469,2589.03
20,1,5000,4899,5058.92
20,2,7500,7325,7377.9
20,3,10000,9719,9613.22
20,4,12500,12124,11714.8
20,5,15000,14527,14433.8
20,6,17500,16928,16761.6
20,7,20000,19328,19399.1
20,8,22500,21738,22052.7
20,9,25000,24129,24731.9
20,10,27500,26531,27314.2
20,11,30000,28939,29242.6
20,12,32500,31347,31134
20,13,35000,33741,33910.3
20,14,37500,36140,36539.8
20,15,40000,38515,38865.3
20,16,42500,40902,40819.3
20,17,45000,43293,42840.6
20,18,47500,45673,44354.6
20,19,50000,48054,46226.2
21,0,2500,2446,2561.09
21,1,5000,4870,5074.19
21,2,7500,7289,7213.49
21,3,10000,9687,9335.5
21,4,12500,12077,11841.2
21,5,15000,14494,13956.9
21,6,17500,16897,16504
21,7,20000,19298,19068
21,8,22500,21716,20987.6
21,9,25000,24110,23220.6
21,10,27500,26501,25785.7
21,11,30000,28917,27862.3
21,12,32500,31309,29827.1
21,13,35000,33685,32499.7
21,14,37500,36043,34987.3
21,15,40000,38443,37099.6
21,16,42500,40848,39867.5
21,17,45000,43237,42036.7
21,18,47500,45621,44111.7
21,19,50000,48014,45871.3
22,0,2500,2463,2602.17
22,1,5000,4896,5047.73
22,2,7500,7319,7611.1
22,3,10000,9727,10095.5
22,4,12500,12131,12860
22,5,15000,14533,14944.8
22,6,17500,16947,17007.7
22,7,20000,19347,19855.7
22,8,22500,21752,22570.3
22,9,25000,24169,25323.7
22,10,27500,26574,27607.1
22,11,30000,28955,29778.2
22,12,32500,31363,32973.8
22,13,35000,33740,34925.2
22,14,37500,36135,37705.1
22,15,40000,38530,39734.5
22,16,42500,40928,41362.5
22,17,45000,43319,43932
22,18,47500,45700,46345.7
22,19,50000,48084,49042.6
23,0,2500,2468,2563.86
23,1,5000,4904,4799.05
23,2,7500,7328,7612.46
23,3,10000,9741,10085.9
23,4,12500,12155,12539.6
23,5,15000,14559,15078
23,6,17500,16964,18167.6
23,7,20000,19376,20753
23,8,22500,21778,23445.5
23,9,25000,24171,25791
23,10,27500,26570,27500.7
23,11,30000,28979,29622.4
23,12,32500,31363,32080.6
23,13,35000,33777,33875
23,14,37500,36157,35768.3
23,15,40000,38541,38183.7
23,16,42500,40938,40192.6
23,17,45000,43340,43387.2
23,18,47500,45728,46101.6
23,19,50000,48111,48338.1
24,0,2500,2459,2536.58
24,1,5000,4885,4647.43
24,2,7500,7315,7032.83
24,3,10000,9740,9416.73
24,4,12500,12162,11962.4
24,5,15000,14582,14630.5
24,6,17500,16990,17185.1
24,7,20000,19405,19333.6
24,8,22500,21807,20950.8
24,9,25000,24209,23581.6
24,10,27500,26600,25467.9
24,11,30000,28996,27208.6
24,12,32500,31384,29429.9
24,13,35000,33763,31938
24,14,37500,36164,34683.1
24,15,40000,38549,37176.3
24,16,42500,40938,40294.3
24,17,45000,43319,43041.9
24,18,47500,45717,44970.8
24,19,50000,48114,47100.6
25,0,2500,2462,2445.49
25,1,5000,4896,4977.23
25,2,7500,7301,7397.54
25,3,10000,9707,9769.55
25,4,12500,12112,12249.7
25,5,15000,14532,14318.3
25,6,17500,16935,16529.1
25,7,20000,19358,18754.4
25,8,22500,21751,21526.2
25,9,25000,24150,23668.6
25,10,27500,26547,26161.5
25,11,30000,28928,28419.5
25,12,32500,31340,31627.1
25,13,35000,33731,33798
25,14,37500,36128,37008.4
25,15,40000,38517,38762
25,16,42500,40912,41251.4
25,17,45000,43299,43428.9
25,18,47500,45700,45701.8
25,19,50000,48107,48396.2
26,0,2500,2466,2583.65
26,1,5000,4902,4781.85
26,2,7500,7315,7375.14
26,3,10000,9721,10025.9
26,4,12500,12140,12086
26,5,15000,14556,14634.1
26,6,17500,16966,16690.8
26,7,20000,19383,19172.2
26,8,22500,21787,20934.7
26,9,25000,24169,23159.1
26,10,27500,26586,25860.9
26,11,30000,28990,27968.5
26,12,32500,31386,29469.9
26,13,35000,33767,32272
26,14,37500,36167,34666.2
26,15,40000,38556,36499.6
26,16,42500,40959,39274.7
26,17,45000,43360,42353.5
26,18,47500,45751,44846.3
26,19,50000,48135,47266.2
27,0,2500,2460,2478.71
27,1,5000,4903,4728.85
27,2,7500,7321,7404.14
27,3,10000,9726,9571.66
27,4,12500,12120,11593.2
27,5,15000,14536,14520.1
27,6,17500,16963,16996.3
27,7,20000,19348,18946
27,8,22500,21744,21524.4
27,9,25000,24149,24319
27,10,27500,26557,27605.2
27,11,30000,28974,30714.3
27,12,32500,31350,32891.6
27,13,35000,33752,35012.6
27,14,37500,36153,37330.8
27,15,40000,38550,40216.8
27,16,42500,40935,42910.2
27,17,45000,43322,45141.2
27,18,47500,45718,47822.3
27,19,50000,48095,50702.2
28,0,2500,2463,2456.45
28,1,5000,4891,4865.13
28,2,7500,7309,7272.99
28,3,10000,9717,9479.26
28,4,12500,12132,12291.9
28,5,15000,14529,14363.8
28,6,17500,16941,16816.5
28,7,20000,19338,19412.8
28,8,22500,21739,21836.8
28,9,25000,24139,24629
28,10,27500,26522,27207.2
28,11,30000,28912,29405.1
28,12,32500,31311,31530.5
28,13,35000,33738,33953.1
28,14,37500,36154,36150.9
28,15,40000,38569,38503.1
28,16,42500,40972,40954
28,17,45000,43362,42770.9
28,18,47500,45762,44643.4
28,19,50000,48142,47649.7
29,0,2500,2465,2456.45
29,1,5000,4898,4802.49
29,2,7500,7324,7482.25
29,3,10000,9723,9953.16
29,4,12500,12142,12482
29,5,15000,14539,14797.8
29,6,17500,16944,17283.6
29,7,20000,19348,20223.1
29,8,22500,21766,22442.9
29,9,25000,24182,24288.7
29,10,27500,26592,27350.3
29,11,30000,28986,29674.5
29,12,32500,31390,32091.3
29,13,35000,33784,34574.4
29,14,37500,36153,36975.7
29,15,40000,38551,39635.2
29,16,42500,40928,42355.1
29,17,45000,43342,45935.4
29,18,47500,45745,47908.1
29,19,50000,48134,50140.4
